高校名称,校企合作论文数,校企合作论文占比,校企合作论文总被引频次,企业资助项目产出论文数,与上市公司关联强度,校企合作专利数,校企合作专利数占比,海外同族合作专利数,校企合作专利施引专利数,校企合作专利总被引频次
清华大学,416,7.31,1080,2556,479,1739,0.29,825,26,26
华北电力大学,584,13.72,1501,2098,9,404,0.27,4,11,11
中国石油大学,625,10.71,1163,2507,18,265,0.19,8,0,0
哈尔滨工业大学,188,4.73,279,2168,96,8,0.38,0,0,0
武汉大学,234,2.88,444,4940,35,378,0.09,2,1,1
上海交通大学,175,1.94,477,4542,141,386,0.11,18,1,1
浙江大学,155,2.37,554,3075,333,551,0.06,28,2,2
中国地质大学,399,8.67,760,1871,10,4,0.02,0,0,0
西安交通大学,266,5.56,471,2930,93,361,0.12,12,1,1
北京科技大学,313,9.41,365,1625,76,102,0.08,7,1,1
北京理工大学,185,6.36,142,1439,51,8,0.28,0,0,0
北京大学,108,1.45,157,3081,158,472,0.18,53,4,4
天津大学,208,3.25,560,3293,65,243,0.07,13,2,2
中南大学,96,1.37,209,3769,109,225,0.08,3,0,0
西南交通大学,242,5.05,262,2823,19,117,0.11,4,2,2
同济大学,155,2.23,372,3337,107,148,0.07,5,0,0
华中科技大学,182,3.52,320,2854,102,312,0.11,17,0,0
四川大学,103,1.37,236,3400,126,145,0.08,4,0,0
北京协和医学院,6,0.10,0,1904,0,9,0.26,3,0,0
中国矿业大学,205,3.83,331,2668,16,125,0.08,17,0,0