高校名称,校企合作论文数,校企合作论文占比,校企合作论文总被引频次,企业资助项目产出论文数,校企合作专利数,校企合作专利数占比,校企合作专利总被引频次,海外同族合作专利数,校企合作专利施引专利数,与上市公司关联强度
清华大学,970,2.93,502,62,6573,40.17,2802,3992,1280,3782
浙江大学,702,2.36,355,42,1121,7.13,589,160,257,2149
重庆大学,615,4.61,182,12,695,13.1,355,29,178,621
上海交通大学,645,2.22,360,49,1307,12.7,526,197,258,1370
西北工业大学,269,2.48,71,242,135,3.68,70,16,40,266
西安交通大学,561,3.21,167,55,836,12.13,469,76,220,978
武汉大学,524,3.19,156,76,698,13.15,355,23,178,1146
北京大学,265,1.11,138,15,1071,19.07,308,497,157,3146
天津大学,504,3.1,216,27,621,7.19,387,72,196,389
华中科技大学,450,2.31,212,40,872,12.74,532,84,231,922
北京航空航天大学,411,2.48,99,130,284,4.3,123,18,51,417
山东大学,444,2.62,195,8,460,7.02,271,15,135,764
华南理工大学,313,2.2,166,13,1200,11.15,763,64,371,972
东南大学,413,2.47,148,25,937,8.49,489,39,251,580
哈尔滨工业大学,469,2.13,175,35,336,2.96,180,5,96,583
东北大学,246,2.59,83,11,193,13.19,94,34,44,420
大连理工大学,299,2.23,156,20,422,8.81,171,104,93,366
中国人民大学,13,0.5,6,0,3,2.13,0,0,0,2591
湖南大学,225,2.35,92,20,223,9.39,132,3,64,920
四川大学,326,1.75,126,52,435,8.07,199,72,90,661
厦门大学,57,0.62,29,7,390,11.8,105,138,50,2177
中南大学,262,1.82,116,25,549,10.33,282,17,140,678
吉林大学,350,1.88,97,7,179,2.37,87,12,41,825
同济大学,303,1.66,117,21,463,7.92,209,49,116,764
中山大学,92,0.57,43,2,456,12.36,231,68,94,1752
复旦大学,106,0.64,48,7,377,9.52,119,96,63,1845
电子科技大学,218,1.92,103,20,312,4.59,95,58,45,723
北京理工大学,252,1.95,96,20,209,4.56,90,7,41,427
南京大学,131,0.89,66,0,213,6.52,69,40,40,1394
中央民族大学,4,0.64,0,0,9,15.25,13,0,5,61
南开大学,40,0.52,24,2,161,10.43,76,44,34,909
中国科学技术大学,141,0.97,62,21,186,7.64,86,97,38,345
中国海洋大学,82,1.46,30,7,72,4.98,48,3,19,205
北京师范大学,55,0.65,38,1,123,11.51,44,6,30,292
中国农业大学,101,1.25,40,13,93,2.95,47,11,23,190
华东师范大学,27,0.47,11,0,151,9.2,44,36,30,255
兰州大学,41,0.61,21,9,65,5.6,22,1,9,193
国防科技大学,64,0.71,18,22,86,2.99,46,1,16,24
西北农林科技大学,31,0.53,15,13,57,3.1,15,1,11,27